date,time,open,high,low,close,tickvol,vol,spread
2025.09.18,03:37:00,146.932,146.944,146.920,146.930,92,0,0
2025.09.18,03:38:00,146.930,146.946,146.919,146.923,48,0,0
2025.09.18,03:39:00,146.923,146.933,146.920,146.929,61,0,0
2025.09.18,03:40:00,146.930,146.932,146.920,146.927,54,0,0
2025.09.18,03:41:00,146.927,146.964,146.926,146.956,78,0,0
2025.09.18,03:42:00,146.957,146.962,146.933,146.936,72,0,0
2025.09.18,03:43:00,146.937,146.945,146.934,146.941,36,0,0
2025.09.18,03:44:00,146.941,146.947,146.929,146.932,72,0,0
2025.09.18,03:45:00,146.932,146.953,146.929,146.952,78,0,0
2025.09.18,03:46:00,146.952,146.956,146.938,146.941,90,0,0
2025.09.18,03:47:00,146.942,146.947,146.925,146.928,79,0,0
2025.09.18,03:48:00,146.928,146.930,146.884,146.896,88,0,0
2025.09.18,03:49:00,146.897,146.912,146.890,146.911,65,0,0
2025.09.18,03:50:00,146.911,146.930,146.901,146.930,74,0,0
2025.09.18,03:51:00,146.931,146.931,146.891,146.892,77,0,0
2025.09.18,03:52:00,146.892,146.898,146.872,146.898,76,0,0
2025.09.18,03:53:00,146.896,146.897,146.854,146.880,98,0,0
2025.09.18,03:54:00,146.880,146.905,146.861,146.898,169,0,0
2025.09.18,03:55:00,146.894,146.917,146.893,146.905,107,0,0
2025.09.18,03:56:00,146.905,146.915,146.901,146.902,100,0,0
2025.09.18,03:57:00,146.902,146.919,146.901,146.906,69,0,0
2025.09.18,03:58:00,146.907,146.930,146.903,146.922,75,0,0
2025.09.18,03:59:00,146.920,146.921,146.901,146.916,79,0,0
2025.09.18,04:00:00,146.915,146.915,146.847,146.877,118,0,0
2025.09.18,04:01:00,146.877,146.908,146.875,146.889,100,0,0
2025.09.18,04:02:00,146.890,146.909,146.887,146.902,97,0,0
2025.09.18,04:03:00,146.902,146.919,146.899,146.911,89,0,0
2025.09.18,04:04:00,146.920,146.944,146.915,146.927,104,0,0
2025.09.18,04:05:00,146.928,146.986,146.928,146.972,118,0,0
2025.09.18,04:06:00,146.972,147.026,146.970,147.002,131,0,0
2025.09.18,04:07:00,147.003,147.003,146.979,146.995,69,0,0
2025.09.18,04:08:00,146.995,146.996,146.972,146.978,78,0,0
2025.09.18,04:09:00,146.977,147.064,146.976,147.064,128,0,0
2025.09.18,04:10:00,147.063,147.068,147.016,147.058,118,0,0
2025.09.18,04:11:00,147.057,147.069,147.045,147.046,104,0,0
2025.09.18,04:12:00,147.044,147.052,147.030,147.035,87,0,0
2025.09.18,04:13:00,147.033,147.060,147.024,147.058,124,0,0
2025.09.18,04:14:00,147.058,147.080,147.040,147.079,90,0,0
2025.09.18,04:15:00,147.079,147.126,147.059,147.118,157,0,0
2025.09.18,04:16:00,147.120,147.140,147.113,147.115,137,0,0
2025.09.18,04:17:00,147.115,147.132,147.086,147.095,114,0,0
2025.09.18,04:18:00,147.094,147.116,147.093,147.102,95,0,0
2025.09.18,04:19:00,147.102,147.115,147.092,147.112,84,0,0
2025.09.18,04:20:00,147.115,147.123,147.098,147.120,92,0,0
2025.09.18,04:21:00,147.120,147.146,147.120,147.137,75,0,0
2025.09.18,04:22:00,147.137,147.143,147.108,147.109,60,0,0
2025.09.18,04:23:00,147.108,147.129,147.108,147.113,57,0,0
2025.09.18,04:24:00,147.113,147.119,147.100,147.104,58,0,0
